nombre,cantidad,anio
Olga Angela,6,1925
Francisco Roberto,6,1925
Luis Mario,6,1925
Lydia Maria,6,1925
Elsa Angela,6,1925
Elsa Nilda,6,1925
Abraham,6,1925
Jose Nicolas,6,1925
Elena Rosa,6,1925
Maria Amanda,6,1925
Carlos Alberto Carmelo,6,1925
Maria Aida,6,1925
Irene Maria,6,1925
Estanislao,6,1925
Felix Antonio,6,1925
Eduardo José,6,1925
Hector Enrique,6,1925
Bernabe,6,1925
Dorila,6,1925
Osvaldo Alberto,6,1925
Mauricia,6,1925
Ninfa,6,1925
Lidia Julia,6,1925
Ricardo Tomás,6,1925
Marino,6,1925
Maria Agustina,6,1925
Idalina,6,1925
Carmen Concepción,6,1925
Juan Luis,6,1925
Nemecio,6,1925
Elsa Margarita,6,1925
Olga Nelida,6,1925
Ricardo Hector,6,1925
Isidro,6,1925
Haydee Rosa,6,1925
Luis Pedro,6,1925
Brigida,6,1925
Francisco Leonardo,6,1925
Edith,6,1925
Julio Sesar,6,1925
Elsa Luisa,6,1925
Emiliana,6,1925
Mario Cesar,6,1925
Lucia Concepción,6,1925
Roque Vicitacion,6,1925
Jorge Alfredo,6,1925
Delia Elvira,6,1925
Horacio Alberto,6,1925
Juana Yolanda,6,1925
Selva Argentina,6,1925
Amelia Margarita,6,1925
Liberato,6,1925
Alicia Alcira,6,1925
Maria Victoria,6,1925
Abelardo,6,1925
Carmen Isabel,6,1925
Blanca Nelly,6,1925
Leonarda,6,1925
Ricardo Manuel,6,1925
Lucia Rosa,6,1925
Olga Juana,6,1925
Dora Nelida,6,1925
Consuelo Eugenia,6,1925
Mira,6,1925
Elsa Ines,6,1925
Esther Margarita,6,1925
Guillermo Enrique,6,1925
Diego,6,1925
Elida Rosa,6,1925
Enrique Vicente,6,1925
Marcial,6,1925
Adelina Isabel,6,1925
Ricardo Arturo,6,1925
Rosa Esther,6,1925
Faustino,6,1925
Saturnina,6,1925
Irma Noemi,6,1925
Maria Jacinta,6,1925
Aldo,6,1925
Artemio,6,1925
Adelina Maria,6,1925
Nemesio,6,1925
Nelida Emma,6,1925
Carlos León,6,1925
Elida Esther,6,1925
Nelly Edith,6,1925
Berenice,6,1925
Elba Haydee,6,1925
Azucena Blanca,6,1925
Julia Elsa,6,1925
Elida Olga,6,1925
Josefa Maria,6,1925
Adrian,6,1925
Manuel Victor,6,1925
Patrocinia,6,1925
Enrique Jose,6,1925
Maria Lorenza,6,1925
Telma,6,1925
Irma Elena,6,1925
Julia Maria,6,1925
Haydeé Nélida,6,1925
Marciano,6,1925
Marta Elena,6,1925
